Nutzung - daamob;Nutzung - VM_froehlich;Nutzung - Terminallizenzserver;Nutzung - VM-carlos-neu-win;Nutzung - ownCloud-TEST;Nutzung - management;Nutzung - cloudstorage;Nutzung - droidcandy;Nutzung - groupware;Nutzung - MaPBiquitous;Nutzung - percol;Nutzung - Promotionsinfosys;Nutzung - promotionsinfosys2;Nutzung - VM_Zille;Nutzung - vm-amcs-dev;Nutzung - vm-carlos-neu;Nutzung - vm-wiki-haec;Nutzung - VM-collabware;Nutzung - VM-SAP-Lehre;Nutzung - VM-mobilephonesensing;Nutzung - buddelflink;Nutzung - VM-Gleichstellung;Nutzung - VM-wutzler;Nutzung - VM-IoT-Praktikum;Nutzung - vm-svn-backup;Nutzung - VM-Cyface;Nutzung - VM-Kubica;Nutzung - VM-Czechmann;Nutzung - VM-Fetzer1;Nutzung - VM-Fetzer2;Nutzung - openresearchdata-zih;Nutzung - effingo-vm-zih;Nutzung - VM-Percol-neu;Nutzung - VM-Haufe;Nutzung - FlexCloudFreeNAS;Nutzung - Matlab
0.14;1.93;0.44;0.35;0.28;0.53;0.42;0.23;0.29;4.93;100;0.5;0.65;100;0.06;0.12;0.57;100;0.53;0.15;0.18;0.23;0.17;0.42;0.06;12.29;0.3;1.13;0.37;0.37;1.48;0.86;0.6;2.15;1.04;0.45
0.35;7.14;0.78;0.58;0.36;0.67;0.97;0.42;0.47;4.82;100;0.7;0.74;100;0.11;0.23;0.83;100;0.73;0.34;0.53;0.3;0.25;0.54;0.37;10.5;0.36;1.29;0.47;0.5;1.61;0.92;0.79;2.24;1.62;0.97
0.53;2.17;0.93;0.71;0.48;0.83;1.33;0.66;0.61;4.99;100;0.8;1.12;100;0.13;0.26;0.91;100;0.74;0.5;0.7;0.52;0.24;0.59;0.43;12.48;0.4;3.5;0.65;0.64;1.68;1.05;0.86;2.42;1.61;0.81
0.14;1.88;0.49;0.4;0.24;0.56;0.55;0.29;0.23;4.68;100;0.44;0.72;100;0.08;0.15;0.67;100;0.65;0.18;0.28;0.19;0.2;0.45;0.12;14.28;0.33;1.16;0.32;0.37;1.48;0.87;0.73;2.12;1.26;0.5
0.18;3.86;0.65;0.62;0.31;0.47;0.44;0.29;0.29;5.06;100;0.58;0.61;99.02;0.09;0.15;0.75;100;0.44;0.19;0.32;0.22;0.11;0.43;0.12;13.15;0.25;1.14;0.38;0.35;1.48;0.9;0.55;1.97;1.54;0.55
0.13;5.57;0.59;0.33;0.23;0.55;0.43;0.23;0.29;5.3;99.58;0.53;0.83;99.12;0.07;0.09;0.64;100;0.66;0.19;0.33;0.22;0.18;0.45;0.19;14.38;0.43;1.12;0.33;0.4;1.5;0.87;0.49;1.99;1.21;0.46
0.4;2.23;0.76;0.61;0.41;0.79;1.17;0.5;0.49;5.07;99.29;1.04;0.89;99.85;0.12;0.26;0.83;99.28;0.72;0.37;0.61;0.39;0.26;0.53;0.44;14.79;0.37;1.32;0.56;0.54;1.58;1.34;1.05;2.22;1.48;0.57
0.45;2.22;0.9;0.63;0.46;0.71;1.4;0.55;0.55;5.29;99.85;0.8;0.84;100;0.14;0.28;0.95;99.42;0.69;0.45;0.66;0.41;0.26;0.57;0.31;14.14;0.46;1.4;0.56;0.62;1.68;1.02;0.94;2.38;3.7;0.73
0.18;8.54;0.59;0.38;0.23;0.52;0.42;0.36;0.29;5.07;99.23;0.49;0.9;99.21;0.08;0.14;0.65;100;0.57;0.15;0.18;0.22;0.16;0.44;0.12;13.41;0.3;1.09;0.35;0.35;1.47;0.86;0.54;1.96;1.27;0.48
0.13;1.95;0.52;0.38;0.22;0.95;0.43;0.37;0.29;4.99;100;0.51;0.7;100;0.08;0.15;0.64;100;0.47;0.12;0.17;0.18;0.19;0.41;0.12;11.78;0.27;1.09;0.33;0.31;1.53;0.86;0.54;2.93;1.23;0.37
